NODE_KEY,PRODUCT_ID,TYPE_CODE,CATEGORY,TAX_TARIF_CODE,MEASURE_UNIT,WEIGHT_MEASURE,WEIGHT_UNIT,CURRENCY_CODE,PRICE,WIDTH,DEPTH,HEIGHT,DIM_UNIT,SUPPLIER_ID
PROD001,LAPTOP01,HW,Electronics,18,EA,2.50,KG,INR,65000,35,25,3,CM,BP001
PROD002,MOUSE01,HW,Electronics,18,EA,0.20,KG,INR,800,10,5,3,CM,BP002
PROD003,KEYBRD01,HW,Electronics,18,EA,0.80,KG,INR,1500,45,15,4,CM,BP003
PROD004,MONITOR01,HW,Electronics,18,EA,4.50,KG,INR,12000,60,20,45,CM,BP004
PROD005,PRINTER01,HW,Electronics,18,EA,8.00,KG,INR,15000,50,35,30,CM,BP005
PROD006,SCANNER01,HW,Electronics,18,EA,3.00,KG,INR,7000,40,25,15,CM,BP006
PROD007,ROUTER01,HW,Networking,18,EA,1.00,KG,INR,3000,20,15,5,CM,BP007
PROD008,SWITCH01,HW,Networking,18,EA,2.00,KG,INR,6000,25,20,6,CM,BP008
PROD009,SERVER01,HW,Infrastructure,18,EA,15.00,KG,INR,150000,70,60,20,CM,BP009
PROD010,TABLET01,HW,Electronics,18,EA,0.70,KG,INR,25000,25,18,1,CM,BP010
